Y,E1,E2,E3,E4,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20
812.1720911,97.00996022,99.86108434,99.30108833,100.1935396,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805.4334096,100.8947349,98.5966333,99.41257537,100.1898885,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
806.0165582,100.2905322,98.42742959,98.17128089,98.93736079,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
820.4046163,100.1661225,100.0650966,100.7124857,98.88689918,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
799.931505,99.92761046,101.1803535,100.0834452,100.807357,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
794.5414006,99.23141349,100.4131511,99.1046852,100.6660951,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
797.7148173,100.1214558,100.1900931,98.8165713,98.81003901,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
806.2782084,99.1800168,100.4561678,97.88240293,98.98638519,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
787.9156996,99.73495121,100.0287633,98.55989653,100.8699854,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
813.6731932,101.100496,98.64045834,99.84977451,99.50114022,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
801.3969528,101.2860984,99.77065558,98.84243754,99.67003636,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
788.6380801,99.95947488,100.6533888,99.43860901,100.147366,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
809.9838019,99.46474705,101.5007131,100.2073854,100.8905996,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0
807.6753692,98.59586277,101.5331064,101.8834446,100.3425743,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
815.8210093,102.1884206,99.61291742,100.8501822,100.3636343,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0
816.9419566,99.9643148,100.9320643,99.49957202,100.3926195,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0
802.5329696,99.03382241,100.0644565,100.7329588,100.6114013,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
798.8202867,100.0143299,99.12331587,100.5090626,101.6012777,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1
820.2619244,99.36927295,100.0536542,100.7530516,97.98698364,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
814.380477,100.8573211,99.53694613,101.7138887,101.1039591,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
812.125753,101.7401416,101.3121249,99.09189061,99.9138575,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1
805.2403796,100.5098421,100.8886178,99.58088715,100.8038641,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1
804.6349969,100.8523663,101.7051528,98.73609438,98.88276444,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1
815.7371981,99.77745437,99.80481844,100.7075483,100.9230967,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
804.3921303,100.068337,101.9078638,99.74315991,100.7926452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
790.7347778,100.1865769,99.13632396,100.9810763,98.74554314,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1
778.8880809,98.56821121,99.14601106,100.1946213,99.89984551,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
796.739489,99.88154028,99.89309668,99.92771789,100.4162857,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
809.178414,101.0892138,99.20945518,99.68034966,100.3505449,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
789.0938965,100.1567806,100.4411571,99.13553571,99.89161532,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1
811.335867,99.43365724,100.8221246,100.6527356,99.09849332,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
816.1799474,101.0767234,99.73951934,100.7074423,100.8868199,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1
792.0966772,99.56996529,99.83447671,99.07272215,99.21048278,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
783.1372787,98.59977821,100.3957232,98.58530108,99.29365399,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1
816.0378959,101.2386329,100.9358063,99.89484218,101.5751339,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
786.0439372,99.95394191,102.2561468,98.7006021,100.3837737,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
802.9226307,101.1338639,100.1884832,99.96627426,99.4878914,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
801.530855,100.7468847,99.32988006,101.2789099,99.03132237,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
790.5442686,97.56420353,100.0581782,98.75211398,99.98920899,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
810.277254,99.686855,99.93785875,99.1386458,100.9868701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
807.9648994,100.6732186,100.0480196,98.79575787,99.60983614,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
821.2730978,101.7575831,99.96011588,100.8955449,98.715848,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
802.7380837,99.74560988,100.7201203,98.29087635,100.5738722,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
813.5142338,99.9131817,99.70227475,101.7689474,99.31250209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805.8885236,100.3656215,100.3181136,100.2925683,99.91609914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
814.2216695,97.77893449,99.49325606,99.89871075,100.5281364,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
816.7893248,99.10198405,100.4227753,101.4269965,99.26991143,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
788.6274202,100.8104498,100.655136,98.60529325,101.147653,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
796.6011762,97.68853399,100.1476387,98.83459647,99.85098003,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1
800.8385556,101.6740579,101.8073287,100.3904655,99.80901439,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
817.4894371,100.6806814,99.96328902,99.51793122,100.0625677,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1
799.1519541,100.9844832,101.8271102,98.739469,99.18893561,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
